Date,Price,Open,High,Low,Vol.,Change %
2000-10-02,120.92,120.92,120.92,120.92,0.05K,0.17%
2000-10-04,121.14,121.14,121.14,121.14,0.06K,0.18%
2000-10-06,122.21,122.21,122.21,122.21,0.04K,0.88%
2000-10-09,124.33,124.33,124.33,124.33,0.03K,1.73%
2000-10-11,126.45,126.45,126.45,126.45,0.05K,1.71%
2000-10-13,128.57,128.57,128.57,128.57,0.05K,1.68%
2000-10-16,130.71,130.71,130.71,130.71,0.03K,1.66%
2000-10-18,132.85,132.85,132.85,132.85,0.03K,1.64%
2000-10-20,135.04,135.04,135.04,135.04,0.07K,1.65%
2000-10-23,136.55,136.55,136.55,136.55,0.04K,1.12%
2000-10-25,137.08,137.08,137.08,137.08,0.05K,0.39%
2000-10-27,139.57,139.57,139.57,139.57,0.09K,1.82%
2000-10-30,140.84,140.84,140.84,140.84,0.10K,0.91%
2000-11-01,143.33,143.33,143.33,143.33,0.10K,1.77%
2000-11-03,145.83,145.83,145.83,145.83,0.08K,1.74%
2000-11-06,148.57,148.57,148.57,148.57,0.06K,1.88%
2000-11-08,151.32,151.32,151.32,151.32,0.03K,1.85%
2000-11-10,154.08,154.08,154.08,154.08,0.06K,1.82%
2000-11-13,156.84,156.84,156.84,156.84,0.02K,1.79%
2000-11-15,159.60,159.60,159.60,159.60,0.01K,1.76%
2000-11-17,162.36,162.36,162.36,162.36,0.04K,1.73%
2000-11-20,165.70,165.70,165.70,165.70,0.06K,2.06%
2000-11-22,165.52,165.52,165.52,165.52,0.14K,-0.11%
2000-11-24,166.17,166.17,166.17,166.17,0.12K,0.39%
2000-11-27,165.60,165.60,165.60,165.60,0.09K,-0.34%
2000-11-29,168.73,168.73,168.73,168.73,0.08K,1.89%
2000-12-01,171.87,171.87,171.87,171.87,0.04K,1.86%
2000-12-04,175.00,175.00,175.00,175.00,0.03K,1.82%
2000-12-06,178.13,178.13,178.13,178.13,0.06K,1.79%
2000-12-08,181.26,181.26,181.26,181.26,0.19K,1.76%
2000-12-11,189.94,189.94,189.94,189.94,0.13K,4.79%
2000-12-13,184.48,184.48,184.48,184.48,0.11K,-2.87%
2000-12-15,187.62,187.62,187.62,187.62,0.05K,1.70%
2000-12-18,191.11,191.11,191.11,191.11,0.08K,1.86%
2000-12-20,194.85,194.85,194.85,194.85,0.04K,1.96%
2000-12-22,198.58,198.58,198.58,198.58,0.06K,1.91%
2000-12-25,202.32,202.32,202.32,202.32,0.02K,1.88%
2000-12-27,203.09,203.09,203.09,203.09,0.04K,0.38%
2000-12-29,206.83,206.83,206.83,206.83,0.06K,1.84%
2001-01-03,210.56,210.56,210.56,210.56,0.04K,1.80%
