Date,Close,Open,High,Low,Volume,Change_pct,Ty_gia_ngoai_te,EMA20,EMA50,SMA20,SMA50,BB_Middle,BB_Upper,BB_Lower,BB_Width,RSI,MACD,Signal
2000-10-02,120.92,120.92,120.92,120.92,50.0,0.17,"14,218.0",120.92,120.92,,,,,,,,0.0,0.0
2000-10-04,121.14,121.14,121.14,121.14,60.0,0.18,"14,240.0",120.94095238095238,120.9286274509804,,,,,,,,0.017549857549866488,0.0035099715099732977
2000-10-06,122.21,122.21,122.21,122.21,40.0,0.88,"14,248.0",121.06181405895691,120.97887735486353,,,,,,,,0.11645587292311177,0.026099151792600993
2000-10-09,124.33,124.33,124.33,124.33,30.0,1.73,"14,261.0",121.37306986286578,121.1102939291826,,,,,,,,0.36173601746997974,0.09322652492807675
2000-10-11,126.45,126.45,126.45,126.45,50.0,1.71,"14,248.0",121.85658701878333,121.31969416725387,,,,,,,,0.7189015322292676,0.2183615263883149
2000-10-13,128.57,128.57,128.57,128.57,50.0,1.68,"14,248.0",122.4959596836611,121.6040198861851,,,,,,,,1.1596562627987481,0.40662047367040155
2000-10-16,130.71,130.71,130.71,130.71,30.0,1.66,"14,310.0",123.27824923759813,121.96111714555039,,,,,,,,1.662473715378269,0.657791122011975
2000-10-18,132.85,132.85,132.85,132.85,30.0,1.64,"14,325.0",124.18984454830307,122.38813215945036,,,,,,,,2.2081856942895257,0.9678700364674853
2000-10-20,135.04,135.04,135.04,135.04,70.0,1.65,"14,335.0",125.22319268655993,122.88428383947192,,,,,,,,2.7852741598833575,1.3313508611506597
2000-10-23,136.55,136.55,136.55,136.55,40.0,1.12,"14,335.0",126.30193624022088,123.4201942771397,,,,,,,,3.3261238219881335,1.7303054533181546
2000-10-25,137.08,137.08,137.08,137.08,50.0,0.39,"14,340.0",127.328418503057,123.95587293293815,,,,,,,,3.754241092047579,2.1350925810640398
2000-10-27,139.57,139.57,139.57,139.57,90.0,1.82,"14,360.0",128.49428340752775,124.56819164145038,,,,,,,,4.24550970999104,2.55717600684944
2000-10-30,140.84,140.84,140.84,140.84,100.0,0.91,"14,370.0",129.67006594014416,125.2063017731582,,,,,,,,4.683335439604946,2.982407893400541
2000-11-01,143.33,143.33,143.33,143.33,100.0,1.77,"14,375.0",130.97101204108282,125.91703503695592,,,,,,,,5.171622430731446,3.420250800866722
2000-11-03,145.83,145.83,145.83,145.83,80.0,1.74,"14,398.0",132.38615375145588,126.69793562374197,,,,,,,100.0,5.694677794939054,3.8751361996811884
2000-11-06,148.57,148.57,148.57,148.57,60.0,1.88,"14,405.0",133.9274724417934,127.5556636384972,,,,,,,100.0,6.258157891740581,4.3517405380930665
2000-11-08,151.32,151.32,151.32,151.32,30.0,1.85,"14,422.0",135.58390363781308,128.48759839777182,,,,,,,100.0,6.84768608277605,4.8509296470296634
