
Tháng,Vn-Index
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,31
2006-04,34
2006-05,61
2006-06,0
2006-07,29
2006-08,19
2006-09,24
2006-10,19
2006-11,20
2006-12,34
2007-01,84
2007-02,70
2007-03,100
2007-04,70
2007-05,62
2007-06,39
2007-07,30
2007-08,30
2007-09,35
2007-10,40
2007-11,31
2007-12,27
2008-01,44
2008-02,48
2008-03,59
2008-04,40
2008-05,28
2008-06,32
2008-07,27
2008-08,26
2008-09,23
2008-10,30
2008-11,24
2008-12,22
2009-01,12
2009-02,26
2009-03,23
2009-04,32
2009-05,34
2009-06,40
2009-07,39
2009-08,38
2009-09,34
2009-10,34
2009-11,31
2009-12,32
2010-01,25
2010-02,25
2010-03,26
2010-04,20
2010-05,25
2010-06,20
2010-07,14
2010-08,19
2010-09,17
2010-10,14
2010-11,16
2010-12,17
2011-01,13
2011-02,13
2011-03,16
2011-04,12
2011-05,15
2011-06,12
2011-07,9
2011-08,12
2011-09,13
2011-10,12
2011-11,12
2011-12,13
2012-01,11
2012-02,14
2012-03,13
2012-04,14
2012-05,15
2012-06,12
2012-07,10
2012-08,11
2012-09,12
2012-10,11
2012-11,8
2012-12,10
2013-01,8
2013-02,8
2013-03,10
2013-04,10
2013-05,12
2013-06,10
2013-07,11
2013-08,8
2013-09,8
2013-10,9
2013-11,8
2013-12,7
2014-01,6
2014-02,7
2014-03,8
2014-04,7
2014-05,7
2014-06,5
2014-07,6
2014-08,6
2014-09,7
2014-10,6
2014-11,5
2014-12,5
2015-01,5
2015-02,4
2015-03,5
2015-04,5
2015-05,5
2015-06,5
2015-07,4
2015-08,5
2015-09,4
2015-10,4
2015-11,4
2015-12,4
2016-01,4
2016-02,4
2016-03,4
2016-04,3
2016-05,3
2016-06,3
2016-07,4
2016-08,4
2016-09,5
2016-10,4
2016-11,4
2016-12,3
2017-01,2
2017-02,3
2017-03,4
2017-04,4
2017-05,4
2017-06,4
2017-07,4
2017-08,4
2017-09,4
2017-10,3
2017-11,4
2017-12,5
2018-01,7
2018-02,8
2018-03,7
2018-04,7
2018-05,8
2018-06,7
2018-07,9
2018-08,6
2018-09,5
2018-10,7
2018-11,6
2018-12,5
2019-01,4
2019-02,4
2019-03,5
2019-04,4
2019-05,4
2019-06,3
2019-07,3
2019-08,4
2019-09,3
2019-10,3
2019-11,3
2019-12,3
2020-01,3
2020-02,5
2020-03,13
2020-04,11
2020-05,7
2020-06,8
2020-07,7
2020-08,5
2020-09,5
2020-10,6
2020-11,6
2020-12,9
2021-01,19
2021-02,13
2021-03,13
2021-04,14
2021-05,12
2021-06,16
2021-07,21
2021-08,13
2021-09,9
2021-10,8
2021-11,10
2021-12,11
2022-01,18
2022-02,12
2022-03,13
2022-04,21
2022-05,25
2022-06,19
2022-07,12
2022-08,11
2022-09,14
2022-10,32
2022-11,25
2022-12,18
2023-01,11
2023-02,15
2023-03,14
2023-04,10
2023-05,9
2023-06,13
2023-07,12
2023-08,18
2023-09,19
2023-10,23
2023-11,21
2023-12,14
2024-01,12
2024-02,11
2024-03,17
2024-04,20
2024-05,13
2024-06,14
2024-07,13
2024-08,17
2024-09,11
2024-10,12
2024-11,15
2024-12,11
2025-01,9
2025-02,11
2025-03,11
2025-04,36
2025-05,12
2025-06,10
2025-07,25
2025-08,26
2025-09,21
2025-10,24
2025-11,9
